order_id,order_time,branch,staff,customer_id,customer_segment,item,qty,gross,discount,net_sales,cost,margin
O01878,2026-02-08 16:16:44.438373,Thonglor,Tum,C0484,active,Craft Beer,1,90,30,60,28.43,31.57
O01363,2026-02-08 16:24:44.438373,Thonglor,Ploy,C0190,new,Set Menu,3,540,10,530,217.5,312.5
O00945,2026-02-08 16:35:44.438373,Ari,Nok,C0158,at_risk,Signature Latte,1,120,30,90,37.23,52.77
O00869,2026-02-08 16:53:44.438373,Ari,Bank,C0091,active,Craft Beer,2,240,0,240,108.17,131.83
O01579,2026-02-08 16:56:44.438373,Ari,Nok,C0383,active,Cocktail,2,360,10,350,165.92,184.08
O00129,2026-02-08 16:58:44.438373,Thonglor,Jane,C0108,active,Cocktail,1,120,0,120,52.7,67.3
O01752,2026-02-08 17:17:44.438373,Thonglor,Ploy,C0403,new,Protein Shake,1,120,0,120,64.92,55.08
O01182,2026-02-08 20:04:44.438373,Ari,Nok,C0062,active,Protein Shake,1,220,20,200,101.92,98.08
O00033,2026-02-08 20:59:44.438373,Siam,Jane,C0161,active,Craft Beer,2,300,20,280,163.72,116.28
O02018,2026-02-09 00:48:44.438373,Thonglor,Mek,C0250,active,Craft Beer,1,180,0,180,104.82,75.18
O00904,2026-02-09 01:18:44.438373,Thonglor,Mek,C0255,active,Cocktail,1,260,0,260,159.26,100.74
O00452,2026-02-09 01:28:44.438373,Thonglor,Bank,C0193,new,Classic Burger,1,90,0,90,46.18,43.82
O01086,2026-02-09 01:49:44.438373,Ari,Nok,C0348,at_risk,Cocktail,3,660,30,630,345.83,284.17
O01477,2026-02-09 01:52:44.438373,Siam,Bank,C0671,at_risk,Craft Beer,1,220,0,220,109.02,110.98
O01094,2026-02-09 02:32:44.438373,Siam,Nok,C0205,new,Protein Shake,1,180,10,170,93.08,76.92
O00230,2026-02-09 03:09:44.438373,Ari,Jane,C0308,active,Set Menu,2,180,10,170,75.45,94.55
O01374,2026-02-09 03:42:44.438373,Thonglor,Tum,C0559,active,Set Menu,2,240,0,240,115.24,124.76
O00783,2026-02-09 04:05:44.438373,Ari,Bank,C0507,at_risk,Classic Burger,2,180,0,180,69.09,110.91
O02001,2026-02-09 05:32:44.438373,Thonglor,Jane,C0692,active,Craft Beer,2,240,0,240,126.39,113.61
O02159,2026-02-09 05:44:44.438373,Siam,Ploy,C0017,at_risk,Signature Latte,1,120,0,120,66.29,53.71
O00679,2026-02-09 05:53:44.438373,Thonglor,Nok,C0380,active,Signature Latte,1,90,10,80,40.28,39.72
O00919,2026-02-09 07:07:44.438373,Ari,Nok,C0346,at_risk,Classic Burger,2,240,30,210,89.0,121.0
O00411,2026-02-09 08:52:44.438373,Ari,Jane,C0390,at_risk,Signature Latte,1,260,10,250,141.24,108.76
O00083,2026-02-09 09:40:44.438373,Siam,Jane,C0212,active,Craft Beer,1,90,0,90,45.76,44.24
O02080,2026-02-09 10:02:44.438373,Siam,Bank,C0694,active,Protein Shake,1,90,0,90,35.8,54.2
